rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,r,rssi
-41,-59,-42,-56,-66,-54,-55,-82,-74,-87,-78,,-63.09090909
-39,-58,-39,-53,-61,-55,-52,-77,-74,-84,-76,,-60.72727273
-43,-54,-42,-51,-60,-56,-56,-77,-74,-84,-77,,-61.27272727
-39,-49,-42,-51,-61,-56,-58,-77,-73,-86,-78,,-60.90909091
-37,-49,-41,-51,-58,-57,-63,-73,-75,-84,-80,,-60.72727273
-37,-51,-43,-52,-62,-59,-61,-70,-75,-84,-82,,-61.45454545
-37,-55,-41,-46,-66,-60,-61,-76,-73,-88,-83,,-62.36363636
-35,-57,-43,-49,-68,-61,-65,-80,-76,-91,-83,,-64.36363636
-33,-57,-46,-47,-68,-59,-64,-84,-75,-93,-81,,-64.27272727
-32,-58,-46,-49,-70,-58,-60,-83,-79,-93,-81,,-64.45454545
-30,-57,-44,-51,-70,-58,-60,-82,-80,-92,-82,,-64.18181818
-32,-55,-42,-48,-69,-59,-60,-81,-84,-92,-82,,-64
-33,-53,-43,-47,-68,-57,-62,-77,-81,-91,-80,,-62.90909091
-33,-52,-44,-51,-64,-59,-61,-71,-79,-88,-79,,-61.90909091
-36,-50,-41,-51,-62,-59,-60,-77,-75,-87,-77,,-61.36363636
-38,-54,-39,-50,-61,-59,-58,-79,-75,-85,-78,,-61.45454545
-41,-56,-41,-51,-63,-58,-60,-74,-78,-87,-79,,-62.54545455
-40,-56,-38,-53,-65,-52,-55,-75,-74,-85,-77,,-60.90909091
-41,-57,-36,-53,-69,-53,-55,-77,-74,-88,-74,,-61.54545455
-43,-62,-35,-56,-69,-52,-58,-80,-72,-90,-70,,-62.45454545
-42,-61,-35,-57,-72,-53,-53,-83,-74,-91,-70,,-62.81818182
-39,-63,-34,-59,-70,-51,-52,-82,-74,-90,-68,,-62
-43,-62,-33,-60,-69,-49,-49,-81,-69,-92,-66,,-61.18181818
-46,-61,-32,-60,-68,-46,-50,-81,-70,-90,-66,,-60.90909091
-49,-63,-35,-63,-67,-45,-47,-81,-74,-93,-63,,-61.81818182
-53,-64,-36,-63,-68,-49,-43,-86,-70,-93,-63,,-62.54545455
-54,-65,-35,-64,-72,-51,-43,-89,-67,-95,-59,,-63.09090909
-51,-66,-36,-69,-87,-55,-41,-94,-65,-98,-58,,-65.45454545
-50,-67,-39,-72,-86,-57,-37,-96,-61,-98,-55,,-65.27272727
-53,-71,-42,-74,-80,-58,-33,-94,-63,-98,-52,,-65.27272727
-56,-71,-42,-72,-79,-60,-29,-95,-64,-98,-51,,-65.18181818
-59,-71,-42,-73,-80,-61,-28,-95,-59,-96,-49,,-64.81818182
-61,-72,-46,-76,-79,-62,-31,-96,-58,-97,-51,,-66.27272727
-59,-74,-44,-76,-76,-63,-35,-96,-58,-93,-52,,-66
-57,-75,-45,-77,-73,-61,-36,-96,-54,-92,-50,,-65.09090909
-57,-75,-48,-77,-68,-62,-35,-97,-52,-91,-49,,-64.63636364
-60,-72,-52,-78,-65,-63,-35,-96,-52,-89,-50,,-64.72727273
-64,-68,-53,-79,-69,-64,-40,-96,-55,-89,-52,,-66.27272727
-64,-70,-54,-80,-70,-67,-43,-95,-49,-90,-54,,-66.90909091
-70,-68,-57,-82,-66,-71,-43,-95,-52,-89,-56,,-68.09090909
-69,-71,-59,-86,-62,-75,-46,-96,-44,-86,-57,,-68.27272727
-67,-67,-59,-88,-64,-77,-47,-91,-43,-84,-59,,-67.81818182
-65,-65,-63,-88,-61,-79,-51,-86,-39,-85,-63,,-67.72727273
-66,-61,-65,-88,-59,-79,-55,-86,-39,-83,-62,,-67.54545455
-67,-61,-65,-90,-57,-82,-52,-90,-37,-82,-63,,-67.81818182
-70,-62,-65,-92,-57,-83,-52,-92,-37,-83,-66,,-69
-70,-61,-68,-92,-55,-83,-53,-90,-40,-81,-68,,-69.18181818
-68,-65,-72,-93,-55,-85,-58,-93,-42,-82,-68,,-71
-71,-67,-68,-90,-54,-84,-60,-90,-49,-74,-70,,-70.63636364
-70,-63,-70,-91,-50,-86,-62,-91,-49,-69,-72,,-70.27272727
-72,-70,-72,-92,-53,-87,-64,-94,-51,-72,-75,,-72.90909091
-75,-71,-72,-89,-51,-87,-62,-96,-57,-69,-76,,-73.18181818
